parameter,n,m,time estimation,weight function,T_max,time_burn_in,true value,value
alpha,0,0,1650.0,Bi-weight 13200.0 width,33000.0,200,0.8888,0.7853
alpha,0,0,3213.15789474,Bi-weight 13200.0 width,33000.0,200,0.6118,0.7443
alpha,0,0,4776.31578947,Bi-weight 13200.0 width,33000.0,200,0.4801,
alpha,0,0,6339.47368421,Bi-weight 13200.0 width,33000.0,200,0.6225,
alpha,0,0,7902.63157895,Bi-weight 13200.0 width,33000.0,200,0.8997,0.8308
alpha,0,0,9465.78947368,Bi-weight 13200.0 width,33000.0,200,1.04,0.8436
alpha,0,0,11028.94736842,Bi-weight 13200.0 width,33000.0,200,0.906,0.8003
alpha,0,0,12592.10526316,Bi-weight 13200.0 width,33000.0,200,0.629,0.7346
alpha,0,0,14155.26315789,Bi-weight 13200.0 width,33000.0,200,0.4803,0.7194
alpha,0,0,15718.42105263,Bi-weight 13200.0 width,33000.0,200,0.6056,
alpha,0,0,17281.57894737,Bi-weight 13200.0 width,33000.0,200,0.8822,0.8699
alpha,0,0,18844.73684211,Bi-weight 13200.0 width,33000.0,200,1.039,0.911
alpha,0,0,20407.89473684,Bi-weight 13200.0 width,33000.0,200,0.9225,0.891
alpha,0,0,21971.05263158,Bi-weight 13200.0 width,33000.0,200,0.6468,0.8337
alpha,0,0,23534.21052632,Bi-weight 13200.0 width,33000.0,200,0.482,
alpha,0,0,25097.36842105,Bi-weight 13200.0 width,33000.0,200,0.5895,
alpha,0,0,26660.52631579,Bi-weight 13200.0 width,33000.0,200,0.8641,0.8893
alpha,0,0,28223.68421053,Bi-weight 13200.0 width,33000.0,200,1.0367,0.9091
alpha,0,0,29786.84210526,Bi-weight 13200.0 width,33000.0,200,0.9382,0.8833
alpha,0,0,31350.0,Bi-weight 13200.0 width,33000.0,200,0.6652,0.8166
beta,0,0,1650.0,Bi-weight 13200.0 width,33000.0,200,4.0,3.7277
beta,0,0,3213.15789474,Bi-weight 13200.0 width,33000.0,200,4.0,3.7915
beta,0,0,4776.31578947,Bi-weight 13200.0 width,33000.0,200,4.0,
beta,0,0,6339.47368421,Bi-weight 13200.0 width,33000.0,200,4.0,
beta,0,0,7902.63157895,Bi-weight 13200.0 width,33000.0,200,4.0,3.7715
beta,0,0,9465.78947368,Bi-weight 13200.0 width,33000.0,200,4.0,3.7355
beta,0,0,11028.94736842,Bi-weight 13200.0 width,33000.0,200,4.0,3.6276
beta,0,0,12592.10526316,Bi-weight 13200.0 width,33000.0,200,4.0,3.5419
beta,0,0,14155.26315789,Bi-weight 13200.0 width,33000.0,200,4.0,3.564
beta,0,0,15718.42105263,Bi-weight 13200.0 width,33000.0,200,4.0,
beta,0,0,17281.57894737,Bi-weight 13200.0 width,33000.0,200,4.0,3.8357
beta,0,0,18844.73684211,Bi-weight 13200.0 width,33000.0,200,4.0,3.9581
beta,0,0,20407.89473684,Bi-weight 13200.0 width,33000.0,200,4.0,4.0653
beta,0,0,21971.05263158,Bi-weight 13200.0 width,33000.0,200,4.0,4.2019
beta,0,0,23534.21052632,Bi-weight 13200.0 width,33000.0,200,4.0,
beta,0,0,25097.36842105,Bi-weight 13200.0 width,33000.0,200,4.0,
beta,0,0,26660.52631579,Bi-weight 13200.0 width,33000.0,200,4.0,4.4452
beta,0,0,28223.68421053,Bi-weight 13200.0 width,33000.0,200,4.0,4.3816
beta,0,0,29786.84210526,Bi-weight 13200.0 width,33000.0,200,4.0,4.2412
beta,0,0,31350.0,Bi-weight 13200.0 width,33000.0,200,4.0,4.077
nu,0,0,1650.0,Bi-weight 13200.0 width,33000.0,200,0.4973,0.4556
nu,0,0,3213.15789474,Bi-weight 13200.0 width,33000.0,200,0.4314,0.4507
nu,0,0,4776.31578947,Bi-weight 13200.0 width,33000.0,200,0.4,
nu,0,0,6339.47368421,Bi-weight 13200.0 width,33000.0,200,0.4339,
nu,0,0,7902.63157895,Bi-weight 13200.0 width,33000.0,200,0.4999,0.4726
nu,0,0,9465.78947368,Bi-weight 13200.0 width,33000.0,200,0.5333,0.4747
nu,0,0,11028.94736842,Bi-weight 13200.0 width,33000.0,200,0.5014,0.4629
nu,0,0,12592.10526316,Bi-weight 13200.0 width,33000.0,200,0.4355,0.4477
nu,0,0,14155.26315789,Bi-weight 13200.0 width,33000.0,200,0.4001,0.4407
nu,0,0,15718.42105263,Bi-weight 13200.0 width,33000.0,200,0.4299,
nu,0,0,17281.57894737,Bi-weight 13200.0 width,33000.0,200,0.4958,0.4564
nu,0,0,18844.73684211,Bi-weight 13200.0 width,33000.0,200,0.5331,0.4617
nu,0,0,20407.89473684,Bi-weight 13200.0 width,33000.0,200,0.5054,0.457
nu,0,0,21971.05263158,Bi-weight 13200.0 width,33000.0,200,0.4397,0.4478
nu,0,0,23534.21052632,Bi-weight 13200.0 width,33000.0,200,0.4005,
nu,0,0,25097.36842105,Bi-weight 13200.0 width,33000.0,200,0.4261,
nu,0,0,26660.52631579,Bi-weight 13200.0 width,33000.0,200,0.4914,0.477
nu,0,0,28223.68421053,Bi-weight 13200.0 width,33000.0,200,0.5325,0.4891
nu,0,0,29786.84210526,Bi-weight 13200.0 width,33000.0,200,0.5091,0.4898
nu,0,0,31350.0,Bi-weight 13200.0 width,33000.0,200,0.4441,0.481
