parameter,n,m,time estimation,weight function,T_max,time_burn_in,true value,value
alpha,0,0,1650.0,Bi-weight 13200.0 width,33000.0,200,0.8888,0.8171
alpha,0,0,3213.15789474,Bi-weight 13200.0 width,33000.0,200,0.6118,0.7822
alpha,0,0,4776.31578947,Bi-weight 13200.0 width,33000.0,200,0.4801,
alpha,0,0,6339.47368421,Bi-weight 13200.0 width,33000.0,200,0.6225,0.8505
alpha,0,0,7902.63157895,Bi-weight 13200.0 width,33000.0,200,0.8997,0.9049
alpha,0,0,9465.78947368,Bi-weight 13200.0 width,33000.0,200,1.04,0.9173
alpha,0,0,11028.94736842,Bi-weight 13200.0 width,33000.0,200,0.906,0.875
alpha,0,0,12592.10526316,Bi-weight 13200.0 width,33000.0,200,0.629,0.8114
alpha,0,0,14155.26315789,Bi-weight 13200.0 width,33000.0,200,0.4803,
alpha,0,0,15718.42105263,Bi-weight 13200.0 width,33000.0,200,0.6056,0.8393
alpha,0,0,17281.57894737,Bi-weight 13200.0 width,33000.0,200,0.8822,0.8964
alpha,0,0,18844.73684211,Bi-weight 13200.0 width,33000.0,200,1.039,0.9034
alpha,0,0,20407.89473684,Bi-weight 13200.0 width,33000.0,200,0.9225,0.8388
alpha,0,0,21971.05263158,Bi-weight 13200.0 width,33000.0,200,0.6468,0.7325
alpha,0,0,23534.21052632,Bi-weight 13200.0 width,33000.0,200,0.482,
alpha,0,0,25097.36842105,Bi-weight 13200.0 width,33000.0,200,0.5895,
alpha,0,0,26660.52631579,Bi-weight 13200.0 width,33000.0,200,0.8641,0.8189
alpha,0,0,28223.68421053,Bi-weight 13200.0 width,33000.0,200,1.0367,0.8867
alpha,0,0,29786.84210526,Bi-weight 13200.0 width,33000.0,200,0.9382,0.9154
alpha,0,0,31350.0,Bi-weight 13200.0 width,33000.0,200,0.6652,0.9014
beta,0,0,1650.0,Bi-weight 13200.0 width,33000.0,200,4.0,4.0633
beta,0,0,3213.15789474,Bi-weight 13200.0 width,33000.0,200,4.0,4.0298
beta,0,0,4776.31578947,Bi-weight 13200.0 width,33000.0,200,4.0,
beta,0,0,6339.47368421,Bi-weight 13200.0 width,33000.0,200,4.0,4.2388
beta,0,0,7902.63157895,Bi-weight 13200.0 width,33000.0,200,4.0,4.4062
beta,0,0,9465.78947368,Bi-weight 13200.0 width,33000.0,200,4.0,4.4476
beta,0,0,11028.94736842,Bi-weight 13200.0 width,33000.0,200,4.0,4.3022
beta,0,0,12592.10526316,Bi-weight 13200.0 width,33000.0,200,4.0,4.0732
beta,0,0,14155.26315789,Bi-weight 13200.0 width,33000.0,200,4.0,
beta,0,0,15718.42105263,Bi-weight 13200.0 width,33000.0,200,4.0,3.9667
beta,0,0,17281.57894737,Bi-weight 13200.0 width,33000.0,200,4.0,4.0643
beta,0,0,18844.73684211,Bi-weight 13200.0 width,33000.0,200,4.0,4.1388
beta,0,0,20407.89473684,Bi-weight 13200.0 width,33000.0,200,4.0,4.0666
beta,0,0,21971.05263158,Bi-weight 13200.0 width,33000.0,200,4.0,3.8739
beta,0,0,23534.21052632,Bi-weight 13200.0 width,33000.0,200,4.0,
beta,0,0,25097.36842105,Bi-weight 13200.0 width,33000.0,200,4.0,
beta,0,0,26660.52631579,Bi-weight 13200.0 width,33000.0,200,4.0,3.9526
beta,0,0,28223.68421053,Bi-weight 13200.0 width,33000.0,200,4.0,4.123
beta,0,0,29786.84210526,Bi-weight 13200.0 width,33000.0,200,4.0,4.2319
beta,0,0,31350.0,Bi-weight 13200.0 width,33000.0,200,4.0,4.3145
nu,0,0,1650.0,Bi-weight 13200.0 width,33000.0,200,0.4973,0.4399
nu,0,0,3213.15789474,Bi-weight 13200.0 width,33000.0,200,0.4314,0.4353
nu,0,0,4776.31578947,Bi-weight 13200.0 width,33000.0,200,0.4,
nu,0,0,6339.47368421,Bi-weight 13200.0 width,33000.0,200,0.4339,0.4562
nu,0,0,7902.63157895,Bi-weight 13200.0 width,33000.0,200,0.4999,0.477
nu,0,0,9465.78947368,Bi-weight 13200.0 width,33000.0,200,0.5333,0.4865
nu,0,0,11028.94736842,Bi-weight 13200.0 width,33000.0,200,0.5014,0.4785
nu,0,0,12592.10526316,Bi-weight 13200.0 width,33000.0,200,0.4355,0.4637
nu,0,0,14155.26315789,Bi-weight 13200.0 width,33000.0,200,0.4001,
nu,0,0,15718.42105263,Bi-weight 13200.0 width,33000.0,200,0.4299,0.462
nu,0,0,17281.57894737,Bi-weight 13200.0 width,33000.0,200,0.4958,0.4747
nu,0,0,18844.73684211,Bi-weight 13200.0 width,33000.0,200,0.5331,0.4838
nu,0,0,20407.89473684,Bi-weight 13200.0 width,33000.0,200,0.5054,0.4795
nu,0,0,21971.05263158,Bi-weight 13200.0 width,33000.0,200,0.4397,0.4695
nu,0,0,23534.21052632,Bi-weight 13200.0 width,33000.0,200,0.4005,
nu,0,0,25097.36842105,Bi-weight 13200.0 width,33000.0,200,0.4261,
nu,0,0,26660.52631579,Bi-weight 13200.0 width,33000.0,200,0.4914,0.4813
nu,0,0,28223.68421053,Bi-weight 13200.0 width,33000.0,200,0.5325,0.4863
nu,0,0,29786.84210526,Bi-weight 13200.0 width,33000.0,200,0.5091,0.4815
nu,0,0,31350.0,Bi-weight 13200.0 width,33000.0,200,0.4441,0.4683
