parameter,n,m,time estimation,weight function,T_max,time_burn_in,true value,value
alpha,0,0,1050.0,Bi-weight 8400.0 width,21000.0,200,0.8897,0.7075
alpha,0,0,2044.73684211,Bi-weight 8400.0 width,21000.0,200,0.6136,0.7192
alpha,0,0,3039.47368421,Bi-weight 8400.0 width,21000.0,200,0.48,
alpha,0,0,4034.21052632,Bi-weight 8400.0 width,21000.0,200,0.619,
alpha,0,0,5028.94736842,Bi-weight 8400.0 width,21000.0,200,0.8953,0.8392
alpha,0,0,6023.68421053,Bi-weight 8400.0 width,21000.0,200,1.0398,0.8361
alpha,0,0,7018.42105263,Bi-weight 8400.0 width,21000.0,200,0.912,0.791
alpha,0,0,8013.15789474,Bi-weight 8400.0 width,21000.0,200,0.6361,0.7524
alpha,0,0,9007.89473684,Bi-weight 8400.0 width,21000.0,200,0.4809,
alpha,0,0,10002.63157895,Bi-weight 8400.0 width,21000.0,200,0.5974,
alpha,0,0,10997.36842105,Bi-weight 8400.0 width,21000.0,200,0.8722,0.9
alpha,0,0,11992.10526316,Bi-weight 8400.0 width,21000.0,200,1.0378,0.9293
alpha,0,0,12986.84210526,Bi-weight 8400.0 width,21000.0,200,0.9329,0.9066
alpha,0,0,13981.57894737,Bi-weight 8400.0 width,21000.0,200,0.6597,
alpha,0,0,14976.31578947,Bi-weight 8400.0 width,21000.0,200,0.4842,
alpha,0,0,15971.05263158,Bi-weight 8400.0 width,21000.0,200,0.5771,0.8487
alpha,0,0,16965.78947368,Bi-weight 8400.0 width,21000.0,200,0.8481,0.8909
alpha,0,0,17960.52631579,Bi-weight 8400.0 width,21000.0,200,1.0333,0.9047
alpha,0,0,18955.26315789,Bi-weight 8400.0 width,21000.0,200,0.9524,0.8955
alpha,0,0,19950.0,Bi-weight 8400.0 width,21000.0,200,0.6842,0.8621
beta,0,0,1050.0,Bi-weight 8400.0 width,21000.0,200,4.0,3.473
beta,0,0,2044.73684211,Bi-weight 8400.0 width,21000.0,200,4.0,3.7132
beta,0,0,3039.47368421,Bi-weight 8400.0 width,21000.0,200,4.0,
beta,0,0,4034.21052632,Bi-weight 8400.0 width,21000.0,200,4.0,
beta,0,0,5028.94736842,Bi-weight 8400.0 width,21000.0,200,4.0,3.6805
beta,0,0,6023.68421053,Bi-weight 8400.0 width,21000.0,200,4.0,3.5948
beta,0,0,7018.42105263,Bi-weight 8400.0 width,21000.0,200,4.0,3.5473
beta,0,0,8013.15789474,Bi-weight 8400.0 width,21000.0,200,4.0,3.6516
beta,0,0,9007.89473684,Bi-weight 8400.0 width,21000.0,200,4.0,
beta,0,0,10002.63157895,Bi-weight 8400.0 width,21000.0,200,4.0,
beta,0,0,10997.36842105,Bi-weight 8400.0 width,21000.0,200,4.0,3.8299
beta,0,0,11992.10526316,Bi-weight 8400.0 width,21000.0,200,4.0,3.7333
beta,0,0,12986.84210526,Bi-weight 8400.0 width,21000.0,200,4.0,3.6484
beta,0,0,13981.57894737,Bi-weight 8400.0 width,21000.0,200,4.0,
beta,0,0,14976.31578947,Bi-weight 8400.0 width,21000.0,200,4.0,
beta,0,0,15971.05263158,Bi-weight 8400.0 width,21000.0,200,4.0,3.9358
beta,0,0,16965.78947368,Bi-weight 8400.0 width,21000.0,200,4.0,4.0736
beta,0,0,17960.52631579,Bi-weight 8400.0 width,21000.0,200,4.0,4.0477
beta,0,0,18955.26315789,Bi-weight 8400.0 width,21000.0,200,4.0,3.977
beta,0,0,19950.0,Bi-weight 8400.0 width,21000.0,200,4.0,3.8771
nu,0,0,1050.0,Bi-weight 8400.0 width,21000.0,200,0.4975,0.4355
nu,0,0,2044.73684211,Bi-weight 8400.0 width,21000.0,200,0.4318,0.4327
nu,0,0,3039.47368421,Bi-weight 8400.0 width,21000.0,200,0.4,
nu,0,0,4034.21052632,Bi-weight 8400.0 width,21000.0,200,0.4331,
nu,0,0,5028.94736842,Bi-weight 8400.0 width,21000.0,200,0.4989,0.4674
nu,0,0,6023.68421053,Bi-weight 8400.0 width,21000.0,200,0.5333,0.4761
nu,0,0,7018.42105263,Bi-weight 8400.0 width,21000.0,200,0.5028,0.4714
nu,0,0,8013.15789474,Bi-weight 8400.0 width,21000.0,200,0.4372,0.4602
nu,0,0,9007.89473684,Bi-weight 8400.0 width,21000.0,200,0.4002,
nu,0,0,10002.63157895,Bi-weight 8400.0 width,21000.0,200,0.4279,
nu,0,0,10997.36842105,Bi-weight 8400.0 width,21000.0,200,0.4934,0.4525
nu,0,0,11992.10526316,Bi-weight 8400.0 width,21000.0,200,0.5328,0.4577
nu,0,0,12986.84210526,Bi-weight 8400.0 width,21000.0,200,0.5078,0.4539
nu,0,0,13981.57894737,Bi-weight 8400.0 width,21000.0,200,0.4428,
nu,0,0,14976.31578947,Bi-weight 8400.0 width,21000.0,200,0.401,
nu,0,0,15971.05263158,Bi-weight 8400.0 width,21000.0,200,0.4231,0.4582
nu,0,0,16965.78947368,Bi-weight 8400.0 width,21000.0,200,0.4876,0.4683
nu,0,0,17960.52631579,Bi-weight 8400.0 width,21000.0,200,0.5317,0.4721
nu,0,0,18955.26315789,Bi-weight 8400.0 width,21000.0,200,0.5125,0.4693
nu,0,0,19950.0,Bi-weight 8400.0 width,21000.0,200,0.4486,0.4569
