parameter,n,m,time estimation,weight function,T_max,time_burn_in,true value,value
alpha,0,0,1050.0,Bi-weight 8400.0 width,21000.0,200,0.8897,0.7787
alpha,0,0,2044.73684211,Bi-weight 8400.0 width,21000.0,200,0.6136,0.7438
alpha,0,0,3039.47368421,Bi-weight 8400.0 width,21000.0,200,0.48,
alpha,0,0,4034.21052632,Bi-weight 8400.0 width,21000.0,200,0.619,0.7948
alpha,0,0,5028.94736842,Bi-weight 8400.0 width,21000.0,200,0.8953,0.8438
alpha,0,0,6023.68421053,Bi-weight 8400.0 width,21000.0,200,1.0398,0.8646
alpha,0,0,7018.42105263,Bi-weight 8400.0 width,21000.0,200,0.912,0.8366
alpha,0,0,8013.15789474,Bi-weight 8400.0 width,21000.0,200,0.6361,0.7775
alpha,0,0,9007.89473684,Bi-weight 8400.0 width,21000.0,200,0.4809,
alpha,0,0,10002.63157895,Bi-weight 8400.0 width,21000.0,200,0.5974,0.7703
alpha,0,0,10997.36842105,Bi-weight 8400.0 width,21000.0,200,0.8722,0.8135
alpha,0,0,11992.10526316,Bi-weight 8400.0 width,21000.0,200,1.0378,0.8292
alpha,0,0,12986.84210526,Bi-weight 8400.0 width,21000.0,200,0.9329,0.7995
alpha,0,0,13981.57894737,Bi-weight 8400.0 width,21000.0,200,0.6597,0.7578
alpha,0,0,14976.31578947,Bi-weight 8400.0 width,21000.0,200,0.4842,
alpha,0,0,15971.05263158,Bi-weight 8400.0 width,21000.0,200,0.5771,
alpha,0,0,16965.78947368,Bi-weight 8400.0 width,21000.0,200,0.8481,0.7646
alpha,0,0,17960.52631579,Bi-weight 8400.0 width,21000.0,200,1.0333,0.7768
alpha,0,0,18955.26315789,Bi-weight 8400.0 width,21000.0,200,0.9524,0.7607
alpha,0,0,19950.0,Bi-weight 8400.0 width,21000.0,200,0.6842,
beta,0,0,1050.0,Bi-weight 8400.0 width,21000.0,200,4.0,4.6382
beta,0,0,2044.73684211,Bi-weight 8400.0 width,21000.0,200,4.0,4.2823
beta,0,0,3039.47368421,Bi-weight 8400.0 width,21000.0,200,4.0,
beta,0,0,4034.21052632,Bi-weight 8400.0 width,21000.0,200,4.0,3.8832
beta,0,0,5028.94736842,Bi-weight 8400.0 width,21000.0,200,4.0,3.8617
beta,0,0,6023.68421053,Bi-weight 8400.0 width,21000.0,200,4.0,3.8753
beta,0,0,7018.42105263,Bi-weight 8400.0 width,21000.0,200,4.0,3.8607
beta,0,0,8013.15789474,Bi-weight 8400.0 width,21000.0,200,4.0,3.7821
beta,0,0,9007.89473684,Bi-weight 8400.0 width,21000.0,200,4.0,
beta,0,0,10002.63157895,Bi-weight 8400.0 width,21000.0,200,4.0,3.7131
beta,0,0,10997.36842105,Bi-weight 8400.0 width,21000.0,200,4.0,3.8669
beta,0,0,11992.10526316,Bi-weight 8400.0 width,21000.0,200,4.0,3.9687
beta,0,0,12986.84210526,Bi-weight 8400.0 width,21000.0,200,4.0,3.935
beta,0,0,13981.57894737,Bi-weight 8400.0 width,21000.0,200,4.0,3.865
beta,0,0,14976.31578947,Bi-weight 8400.0 width,21000.0,200,4.0,
beta,0,0,15971.05263158,Bi-weight 8400.0 width,21000.0,200,4.0,
beta,0,0,16965.78947368,Bi-weight 8400.0 width,21000.0,200,4.0,3.0936
beta,0,0,17960.52631579,Bi-weight 8400.0 width,21000.0,200,4.0,3.0052
beta,0,0,18955.26315789,Bi-weight 8400.0 width,21000.0,200,4.0,2.925
beta,0,0,19950.0,Bi-weight 8400.0 width,21000.0,200,4.0,
nu,0,0,1050.0,Bi-weight 8400.0 width,21000.0,200,0.4975,0.4528
nu,0,0,2044.73684211,Bi-weight 8400.0 width,21000.0,200,0.4318,0.4445
nu,0,0,3039.47368421,Bi-weight 8400.0 width,21000.0,200,0.4,
nu,0,0,4034.21052632,Bi-weight 8400.0 width,21000.0,200,0.4331,0.45
nu,0,0,5028.94736842,Bi-weight 8400.0 width,21000.0,200,0.4989,0.4553
nu,0,0,6023.68421053,Bi-weight 8400.0 width,21000.0,200,0.5333,0.4543
nu,0,0,7018.42105263,Bi-weight 8400.0 width,21000.0,200,0.5028,0.4448
nu,0,0,8013.15789474,Bi-weight 8400.0 width,21000.0,200,0.4372,0.4353
nu,0,0,9007.89473684,Bi-weight 8400.0 width,21000.0,200,0.4002,
nu,0,0,10002.63157895,Bi-weight 8400.0 width,21000.0,200,0.4279,0.4499
nu,0,0,10997.36842105,Bi-weight 8400.0 width,21000.0,200,0.4934,0.4732
nu,0,0,11992.10526316,Bi-weight 8400.0 width,21000.0,200,0.5328,0.4856
nu,0,0,12986.84210526,Bi-weight 8400.0 width,21000.0,200,0.5078,0.4807
nu,0,0,13981.57894737,Bi-weight 8400.0 width,21000.0,200,0.4428,0.466
nu,0,0,14976.31578947,Bi-weight 8400.0 width,21000.0,200,0.401,
nu,0,0,15971.05263158,Bi-weight 8400.0 width,21000.0,200,0.4231,
nu,0,0,16965.78947368,Bi-weight 8400.0 width,21000.0,200,0.4876,0.4542
nu,0,0,17960.52631579,Bi-weight 8400.0 width,21000.0,200,0.5317,0.4562
nu,0,0,18955.26315789,Bi-weight 8400.0 width,21000.0,200,0.5125,0.4531
nu,0,0,19950.0,Bi-weight 8400.0 width,21000.0,200,0.4486,
