parameter,n,m,time estimation,weight function,T_max,time_burn_in,true value,value
alpha,0,0,1500.0,Bi-weight 12000.0 width,30000.0,200,0.8889,0.8571
alpha,0,0,2921.05263158,Bi-weight 12000.0 width,30000.0,200,0.6122,0.7972
alpha,0,0,4342.10526316,Bi-weight 12000.0 width,30000.0,200,0.4801,
alpha,0,0,5763.15789474,Bi-weight 12000.0 width,30000.0,200,0.6219,
alpha,0,0,7184.21052632,Bi-weight 12000.0 width,30000.0,200,0.8989,0.7541
alpha,0,0,8605.26315789,Bi-weight 12000.0 width,30000.0,200,1.04,0.7511
alpha,0,0,10026.31578947,Bi-weight 12000.0 width,30000.0,200,0.9071,0.715
alpha,0,0,11447.36842105,Bi-weight 12000.0 width,30000.0,200,0.6303,0.6624
alpha,0,0,12868.42105263,Bi-weight 12000.0 width,30000.0,200,0.4804,0.6503
alpha,0,0,14289.47368421,Bi-weight 12000.0 width,30000.0,200,0.6042,
alpha,0,0,15710.52631579,Bi-weight 12000.0 width,30000.0,200,0.8804,0.7863
alpha,0,0,17131.57894737,Bi-weight 12000.0 width,30000.0,200,1.0388,0.8455
alpha,0,0,18552.63157895,Bi-weight 12000.0 width,30000.0,200,0.9244,0.8613
alpha,0,0,19973.68421053,Bi-weight 12000.0 width,30000.0,200,0.6491,0.8439
alpha,0,0,21394.73684211,Bi-weight 12000.0 width,30000.0,200,0.4823,
alpha,0,0,22815.78947368,Bi-weight 12000.0 width,30000.0,200,0.5873,
alpha,0,0,24236.84210526,Bi-weight 12000.0 width,30000.0,200,0.8613,0.8455
alpha,0,0,25657.89473684,Bi-weight 12000.0 width,30000.0,200,1.0362,0.8469
alpha,0,0,27078.94736842,Bi-weight 12000.0 width,30000.0,200,0.9408,0.8243
alpha,0,0,28500.0,Bi-weight 12000.0 width,30000.0,200,0.6685,0.7774
beta,0,0,1500.0,Bi-weight 12000.0 width,30000.0,200,4.0,4.1981
beta,0,0,2921.05263158,Bi-weight 12000.0 width,30000.0,200,4.0,4.0774
beta,0,0,4342.10526316,Bi-weight 12000.0 width,30000.0,200,4.0,
beta,0,0,5763.15789474,Bi-weight 12000.0 width,30000.0,200,4.0,
beta,0,0,7184.21052632,Bi-weight 12000.0 width,30000.0,200,4.0,3.8787
beta,0,0,8605.26315789,Bi-weight 12000.0 width,30000.0,200,4.0,4.0003
beta,0,0,10026.31578947,Bi-weight 12000.0 width,30000.0,200,4.0,4.0143
beta,0,0,11447.36842105,Bi-weight 12000.0 width,30000.0,200,4.0,3.8276
beta,0,0,12868.42105263,Bi-weight 12000.0 width,30000.0,200,4.0,3.6302
beta,0,0,14289.47368421,Bi-weight 12000.0 width,30000.0,200,4.0,
beta,0,0,15710.52631579,Bi-weight 12000.0 width,30000.0,200,4.0,3.7171
beta,0,0,17131.57894737,Bi-weight 12000.0 width,30000.0,200,4.0,3.9467
beta,0,0,18552.63157895,Bi-weight 12000.0 width,30000.0,200,4.0,4.1921
beta,0,0,19973.68421053,Bi-weight 12000.0 width,30000.0,200,4.0,4.3951
beta,0,0,21394.73684211,Bi-weight 12000.0 width,30000.0,200,4.0,
beta,0,0,22815.78947368,Bi-weight 12000.0 width,30000.0,200,4.0,
beta,0,0,24236.84210526,Bi-weight 12000.0 width,30000.0,200,4.0,4.0185
beta,0,0,25657.89473684,Bi-weight 12000.0 width,30000.0,200,4.0,3.8403
beta,0,0,27078.94736842,Bi-weight 12000.0 width,30000.0,200,4.0,3.6675
beta,0,0,28500.0,Bi-weight 12000.0 width,30000.0,200,4.0,3.4807
nu,0,0,1500.0,Bi-weight 12000.0 width,30000.0,200,0.4974,0.4647
nu,0,0,2921.05263158,Bi-weight 12000.0 width,30000.0,200,0.4315,0.4584
nu,0,0,4342.10526316,Bi-weight 12000.0 width,30000.0,200,0.4,
nu,0,0,5763.15789474,Bi-weight 12000.0 width,30000.0,200,0.4338,
nu,0,0,7184.21052632,Bi-weight 12000.0 width,30000.0,200,0.4997,0.4816
nu,0,0,8605.26315789,Bi-weight 12000.0 width,30000.0,200,0.5333,0.4884
nu,0,0,10026.31578947,Bi-weight 12000.0 width,30000.0,200,0.5017,0.4817
nu,0,0,11447.36842105,Bi-weight 12000.0 width,30000.0,200,0.4358,0.4678
nu,0,0,12868.42105263,Bi-weight 12000.0 width,30000.0,200,0.4001,0.4593
nu,0,0,14289.47368421,Bi-weight 12000.0 width,30000.0,200,0.4296,
nu,0,0,15710.52631579,Bi-weight 12000.0 width,30000.0,200,0.4953,0.4704
nu,0,0,17131.57894737,Bi-weight 12000.0 width,30000.0,200,0.5331,0.4759
nu,0,0,18552.63157895,Bi-weight 12000.0 width,30000.0,200,0.5058,0.4711
nu,0,0,19973.68421053,Bi-weight 12000.0 width,30000.0,200,0.4403,0.4615
nu,0,0,21394.73684211,Bi-weight 12000.0 width,30000.0,200,0.4006,
nu,0,0,22815.78947368,Bi-weight 12000.0 width,30000.0,200,0.4255,
nu,0,0,24236.84210526,Bi-weight 12000.0 width,30000.0,200,0.4908,0.4695
nu,0,0,25657.89473684,Bi-weight 12000.0 width,30000.0,200,0.5324,0.4725
nu,0,0,27078.94736842,Bi-weight 12000.0 width,30000.0,200,0.5097,0.4673
nu,0,0,28500.0,Bi-weight 12000.0 width,30000.0,200,0.4449,0.453
