parameter,n,m,time estimation,weight function,T_max,time_burn_in,true value,value
alpha,0,0,900.0,Bi-weight 7200.0 width,18000.0,200,0.8901,0.727
alpha,0,0,1752.63157895,Bi-weight 7200.0 width,18000.0,200,0.6144,0.704
alpha,0,0,2605.26315789,Bi-weight 7200.0 width,18000.0,200,0.48,
alpha,0,0,3457.89473684,Bi-weight 7200.0 width,18000.0,200,0.6174,
alpha,0,0,4310.52631579,Bi-weight 7200.0 width,18000.0,200,0.8933,0.7469
alpha,0,0,5163.15789474,Bi-weight 7200.0 width,18000.0,200,1.0397,0.7182
alpha,0,0,6015.78947368,Bi-weight 7200.0 width,18000.0,200,0.9146,0.6404
alpha,0,0,6868.42105263,Bi-weight 7200.0 width,18000.0,200,0.6394,
alpha,0,0,7721.05263158,Bi-weight 7200.0 width,18000.0,200,0.4813,
alpha,0,0,8573.68421053,Bi-weight 7200.0 width,18000.0,200,0.5937,
alpha,0,0,9426.31578947,Bi-weight 7200.0 width,18000.0,200,0.8676,0.7968
alpha,0,0,10278.94736842,Bi-weight 7200.0 width,18000.0,200,1.037,0.8403
alpha,0,0,11131.57894737,Bi-weight 7200.0 width,18000.0,200,0.9375,0.7989
alpha,0,0,11984.21052632,Bi-weight 7200.0 width,18000.0,200,0.6657,0.7137
alpha,0,0,12836.84210526,Bi-weight 7200.0 width,18000.0,200,0.4854,
alpha,0,0,13689.47368421,Bi-weight 7200.0 width,18000.0,200,0.5717,0.6919
alpha,0,0,14542.10526316,Bi-weight 7200.0 width,18000.0,200,0.8407,0.775
alpha,0,0,15394.73684211,Bi-weight 7200.0 width,18000.0,200,1.0314,0.8439
alpha,0,0,16247.36842105,Bi-weight 7200.0 width,18000.0,200,0.9586,0.8801
alpha,0,0,17100.0,Bi-weight 7200.0 width,18000.0,200,0.693,0.8818
beta,0,0,900.0,Bi-weight 7200.0 width,18000.0,200,4.0,4.0482
beta,0,0,1752.63157895,Bi-weight 7200.0 width,18000.0,200,4.0,3.9419
beta,0,0,2605.26315789,Bi-weight 7200.0 width,18000.0,200,4.0,
beta,0,0,3457.89473684,Bi-weight 7200.0 width,18000.0,200,4.0,
beta,0,0,4310.52631579,Bi-weight 7200.0 width,18000.0,200,4.0,3.5428
beta,0,0,5163.15789474,Bi-weight 7200.0 width,18000.0,200,4.0,3.403
beta,0,0,6015.78947368,Bi-weight 7200.0 width,18000.0,200,4.0,3.1731
beta,0,0,6868.42105263,Bi-weight 7200.0 width,18000.0,200,4.0,
beta,0,0,7721.05263158,Bi-weight 7200.0 width,18000.0,200,4.0,
beta,0,0,8573.68421053,Bi-weight 7200.0 width,18000.0,200,4.0,
beta,0,0,9426.31578947,Bi-weight 7200.0 width,18000.0,200,4.0,4.4145
beta,0,0,10278.94736842,Bi-weight 7200.0 width,18000.0,200,4.0,4.45
beta,0,0,11131.57894737,Bi-weight 7200.0 width,18000.0,200,4.0,4.2318
beta,0,0,11984.21052632,Bi-weight 7200.0 width,18000.0,200,4.0,3.916
beta,0,0,12836.84210526,Bi-weight 7200.0 width,18000.0,200,4.0,
beta,0,0,13689.47368421,Bi-weight 7200.0 width,18000.0,200,4.0,3.7755
beta,0,0,14542.10526316,Bi-weight 7200.0 width,18000.0,200,4.0,3.9631
beta,0,0,15394.73684211,Bi-weight 7200.0 width,18000.0,200,4.0,4.1754
beta,0,0,16247.36842105,Bi-weight 7200.0 width,18000.0,200,4.0,4.3568
beta,0,0,17100.0,Bi-weight 7200.0 width,18000.0,200,4.0,4.5143
nu,0,0,900.0,Bi-weight 7200.0 width,18000.0,200,0.4976,0.4615
nu,0,0,1752.63157895,Bi-weight 7200.0 width,18000.0,200,0.432,0.453
nu,0,0,2605.26315789,Bi-weight 7200.0 width,18000.0,200,0.4,
nu,0,0,3457.89473684,Bi-weight 7200.0 width,18000.0,200,0.4327,
nu,0,0,4310.52631579,Bi-weight 7200.0 width,18000.0,200,0.4984,0.4737
nu,0,0,5163.15789474,Bi-weight 7200.0 width,18000.0,200,0.5333,0.4776
nu,0,0,6015.78947368,Bi-weight 7200.0 width,18000.0,200,0.5035,0.4696
nu,0,0,6868.42105263,Bi-weight 7200.0 width,18000.0,200,0.438,
nu,0,0,7721.05263158,Bi-weight 7200.0 width,18000.0,200,0.4003,
nu,0,0,8573.68421053,Bi-weight 7200.0 width,18000.0,200,0.4271,
nu,0,0,9426.31578947,Bi-weight 7200.0 width,18000.0,200,0.4923,0.5044
nu,0,0,10278.94736842,Bi-weight 7200.0 width,18000.0,200,0.5326,0.5098
nu,0,0,11131.57894737,Bi-weight 7200.0 width,18000.0,200,0.5089,0.4935
nu,0,0,11984.21052632,Bi-weight 7200.0 width,18000.0,200,0.4442,0.467
nu,0,0,12836.84210526,Bi-weight 7200.0 width,18000.0,200,0.4013,
nu,0,0,13689.47368421,Bi-weight 7200.0 width,18000.0,200,0.4218,0.4563
nu,0,0,14542.10526316,Bi-weight 7200.0 width,18000.0,200,0.4859,0.4729
nu,0,0,15394.73684211,Bi-weight 7200.0 width,18000.0,200,0.5313,0.4901
nu,0,0,16247.36842105,Bi-weight 7200.0 width,18000.0,200,0.514,0.5
nu,0,0,17100.0,Bi-weight 7200.0 width,18000.0,200,0.4507,0.4983
