parameter,n,m,time estimation,weight function,T_max,time_burn_in,true value,value
alpha,0,0,750.0,Adaptive Bi-weight with first width 3750.0,15000,200,0.8907,0.6367
alpha,0,0,1096.15384615,Adaptive Bi-weight with first width 3750.0,15000,200,0.7558,0.5441
alpha,0,0,1442.30769231,Adaptive Bi-weight with first width 3750.0,15000,200,0.6219,
alpha,0,0,1788.46153846,Adaptive Bi-weight with first width 3750.0,15000,200,0.5219,0.6777
alpha,0,0,2134.61538462,Adaptive Bi-weight with first width 3750.0,15000,200,0.4804,0.7336
alpha,0,0,2480.76923077,Adaptive Bi-weight with first width 3750.0,15000,200,0.5076,0.7697
alpha,0,0,2826.92307692,Adaptive Bi-weight with first width 3750.0,15000,200,0.5968,
alpha,0,0,3173.07692308,Adaptive Bi-weight with first width 3750.0,15000,200,0.726,
alpha,0,0,3519.23076923,Adaptive Bi-weight with first width 3750.0,15000,200,0.8636,0.8562
alpha,0,0,3865.38461538,Adaptive Bi-weight with first width 3750.0,15000,200,0.9758,1.0565
alpha,0,0,4211.53846154,Adaptive Bi-weight with first width 3750.0,15000,200,1.035,1.2042
alpha,0,0,4557.69230769,Adaptive Bi-weight with first width 3750.0,15000,200,1.0266,1.2241
alpha,0,0,4903.84615385,Adaptive Bi-weight with first width 3750.0,15000,200,0.9527,1.0336
alpha,0,0,5250.0,Adaptive Bi-weight with first width 3750.0,15000,200,0.8315,0.9245
alpha,0,0,5596.15384615,Adaptive Bi-weight with first width 3750.0,15000,200,0.6928,0.6721
alpha,0,0,5942.30769231,Adaptive Bi-weight with first width 3750.0,15000,200,0.5705,0.7819
alpha,0,0,6288.46153846,Adaptive Bi-weight with first width 3750.0,15000,200,0.4948,1.0989
alpha,0,0,6634.61538462,Adaptive Bi-weight with first width 3750.0,15000,200,0.4842,1.0574
alpha,0,0,6980.76923077,Adaptive Bi-weight with first width 3750.0,15000,200,0.5414,0.9593
alpha,0,0,7326.92307692,Adaptive Bi-weight with first width 3750.0,15000,200,0.6522,0.8735
alpha,0,0,7673.07692308,Adaptive Bi-weight with first width 3750.0,15000,200,0.7895,0.7787
alpha,0,0,8019.23076923,Adaptive Bi-weight with first width 3750.0,15000,200,0.9196,0.7265
alpha,0,0,8365.38461538,Adaptive Bi-weight with first width 3750.0,15000,200,1.0105,0.8827
alpha,0,0,8711.53846154,Adaptive Bi-weight with first width 3750.0,15000,200,1.0398,1.0118
alpha,0,0,9057.69230769,Adaptive Bi-weight with first width 3750.0,15000,200,1.0004,0.9508
alpha,0,0,9403.84615385,Adaptive Bi-weight with first width 3750.0,15000,200,0.902,0.8729
alpha,0,0,9750.0,Adaptive Bi-weight with first width 3750.0,15000,200,0.7687,0.802
alpha,0,0,10096.15384615,Adaptive Bi-weight with first width 3750.0,15000,200,0.6332,0.7536
alpha,0,0,10442.30769231,Adaptive Bi-weight with first width 3750.0,15000,200,0.5289,0.9654
alpha,0,0,10788.46153846,Adaptive Bi-weight with first width 3750.0,15000,200,0.4814,
alpha,0,0,11134.61538462,Adaptive Bi-weight with first width 3750.0,15000,200,0.5023,
alpha,0,0,11480.76923077,Adaptive Bi-weight with first width 3750.0,15000,200,0.5864,0.7352
alpha,0,0,11826.92307692,Adaptive Bi-weight with first width 3750.0,15000,200,0.7133,0.8188
alpha,0,0,12173.07692308,Adaptive Bi-weight with first width 3750.0,15000,200,0.8515,1.085
alpha,0,0,12519.23076923,Adaptive Bi-weight with first width 3750.0,15000,200,0.9674,1.3321
alpha,0,0,12865.38461538,Adaptive Bi-weight with first width 3750.0,15000,200,1.0322,1.2701
alpha,0,0,13211.53846154,Adaptive Bi-weight with first width 3750.0,15000,200,1.0302,0.9435
alpha,0,0,13557.69230769,Adaptive Bi-weight with first width 3750.0,15000,200,0.9619,0.6889
alpha,0,0,13903.84615385,Adaptive Bi-weight with first width 3750.0,15000,200,0.8439,0.6047
alpha,0,0,14250.0,Adaptive Bi-weight with first width 3750.0,15000,200,0.7054,0.6269
beta,0,0,750.0,Adaptive Bi-weight with first width 3750.0,15000,200,4.0,3.3875
beta,0,0,1096.15384615,Adaptive Bi-weight with first width 3750.0,15000,200,4.0,3.6631
beta,0,0,1442.30769231,Adaptive Bi-weight with first width 3750.0,15000,200,4.0,
beta,0,0,1788.46153846,Adaptive Bi-weight with first width 3750.0,15000,200,4.0,8.8976
beta,0,0,2134.61538462,Adaptive Bi-weight with first width 3750.0,15000,200,4.0,5.4717
beta,0,0,2480.76923077,Adaptive Bi-weight with first width 3750.0,15000,200,4.0,4.7091
beta,0,0,2826.92307692,Adaptive Bi-weight with first width 3750.0,15000,200,4.0,
beta,0,0,3173.07692308,Adaptive Bi-weight with first width 3750.0,15000,200,4.0,
beta,0,0,3519.23076923,Adaptive Bi-weight with first width 3750.0,15000,200,4.0,3.3023
beta,0,0,3865.38461538,Adaptive Bi-weight with first width 3750.0,15000,200,4.0,3.9511
beta,0,0,4211.53846154,Adaptive Bi-weight with first width 3750.0,15000,200,4.0,4.8341
beta,0,0,4557.69230769,Adaptive Bi-weight with first width 3750.0,15000,200,4.0,6.2276
beta,0,0,4903.84615385,Adaptive Bi-weight with first width 3750.0,15000,200,4.0,5.6772
beta,0,0,5250.0,Adaptive Bi-weight with first width 3750.0,15000,200,4.0,4.8302
beta,0,0,5596.15384615,Adaptive Bi-weight with first width 3750.0,15000,200,4.0,3.9392
beta,0,0,5942.30769231,Adaptive Bi-weight with first width 3750.0,15000,200,4.0,4.6889
beta,0,0,6288.46153846,Adaptive Bi-weight with first width 3750.0,15000,200,4.0,6.4543
beta,0,0,6634.61538462,Adaptive Bi-weight with first width 3750.0,15000,200,4.0,6.1431
beta,0,0,6980.76923077,Adaptive Bi-weight with first width 3750.0,15000,200,4.0,5.3665
beta,0,0,7326.92307692,Adaptive Bi-weight with first width 3750.0,15000,200,4.0,4.3952
beta,0,0,7673.07692308,Adaptive Bi-weight with first width 3750.0,15000,200,4.0,3.852
beta,0,0,8019.23076923,Adaptive Bi-weight with first width 3750.0,15000,200,4.0,3.4897
beta,0,0,8365.38461538,Adaptive Bi-weight with first width 3750.0,15000,200,4.0,3.9315
beta,0,0,8711.53846154,Adaptive Bi-weight with first width 3750.0,15000,200,4.0,4.3458
beta,0,0,9057.69230769,Adaptive Bi-weight with first width 3750.0,15000,200,4.0,4.2585
beta,0,0,9403.84615385,Adaptive Bi-weight with first width 3750.0,15000,200,4.0,4.0553
beta,0,0,9750.0,Adaptive Bi-weight with first width 3750.0,15000,200,4.0,4.2544
beta,0,0,10096.15384615,Adaptive Bi-weight with first width 3750.0,15000,200,4.0,5.007
beta,0,0,10442.30769231,Adaptive Bi-weight with first width 3750.0,15000,200,4.0,9.475
beta,0,0,10788.46153846,Adaptive Bi-weight with first width 3750.0,15000,200,4.0,
beta,0,0,11134.61538462,Adaptive Bi-weight with first width 3750.0,15000,200,4.0,
beta,0,0,11480.76923077,Adaptive Bi-weight with first width 3750.0,15000,200,4.0,4.1726
beta,0,0,11826.92307692,Adaptive Bi-weight with first width 3750.0,15000,200,4.0,4.1172
beta,0,0,12173.07692308,Adaptive Bi-weight with first width 3750.0,15000,200,4.0,4.8583
beta,0,0,12519.23076923,Adaptive Bi-weight with first width 3750.0,15000,200,4.0,4.9839
beta,0,0,12865.38461538,Adaptive Bi-weight with first width 3750.0,15000,200,4.0,5.5259
beta,0,0,13211.53846154,Adaptive Bi-weight with first width 3750.0,15000,200,4.0,4.8671
beta,0,0,13557.69230769,Adaptive Bi-weight with first width 3750.0,15000,200,4.0,3.2032
beta,0,0,13903.84615385,Adaptive Bi-weight with first width 3750.0,15000,200,4.0,3.0033
beta,0,0,14250.0,Adaptive Bi-weight with first width 3750.0,15000,200,4.0,3.3871
nu,0,0,750.0,Adaptive Bi-weight with first width 3750.0,15000,200,0.4978,0.4381
nu,0,0,1096.15384615,Adaptive Bi-weight with first width 3750.0,15000,200,0.4657,0.4328
nu,0,0,1442.30769231,Adaptive Bi-weight with first width 3750.0,15000,200,0.4338,
nu,0,0,1788.46153846,Adaptive Bi-weight with first width 3750.0,15000,200,0.41,0.4214
nu,0,0,2134.61538462,Adaptive Bi-weight with first width 3750.0,15000,200,0.4001,0.4322
nu,0,0,2480.76923077,Adaptive Bi-weight with first width 3750.0,15000,200,0.4066,0.4502
nu,0,0,2826.92307692,Adaptive Bi-weight with first width 3750.0,15000,200,0.4278,
nu,0,0,3173.07692308,Adaptive Bi-weight with first width 3750.0,15000,200,0.4586,
nu,0,0,3519.23076923,Adaptive Bi-weight with first width 3750.0,15000,200,0.4913,0.5004
nu,0,0,3865.38461538,Adaptive Bi-weight with first width 3750.0,15000,200,0.518,0.5452
nu,0,0,4211.53846154,Adaptive Bi-weight with first width 3750.0,15000,200,0.5321,0.5576
nu,0,0,4557.69230769,Adaptive Bi-weight with first width 3750.0,15000,200,0.5301,0.5426
nu,0,0,4903.84615385,Adaptive Bi-weight with first width 3750.0,15000,200,0.5126,0.5183
nu,0,0,5250.0,Adaptive Bi-weight with first width 3750.0,15000,200,0.4837,0.4781
nu,0,0,5596.15384615,Adaptive Bi-weight with first width 3750.0,15000,200,0.4507,0.4494
nu,0,0,5942.30769231,Adaptive Bi-weight with first width 3750.0,15000,200,0.4216,0.4023
nu,0,0,6288.46153846,Adaptive Bi-weight with first width 3750.0,15000,200,0.4035,0.3632
nu,0,0,6634.61538462,Adaptive Bi-weight with first width 3750.0,15000,200,0.401,0.3991
nu,0,0,6980.76923077,Adaptive Bi-weight with first width 3750.0,15000,200,0.4146,0.4254
nu,0,0,7326.92307692,Adaptive Bi-weight with first width 3750.0,15000,200,0.441,0.4523
nu,0,0,7673.07692308,Adaptive Bi-weight with first width 3750.0,15000,200,0.4737,0.4891
nu,0,0,8019.23076923,Adaptive Bi-weight with first width 3750.0,15000,200,0.5047,0.5209
nu,0,0,8365.38461538,Adaptive Bi-weight with first width 3750.0,15000,200,0.5263,0.5187
nu,0,0,8711.53846154,Adaptive Bi-weight with first width 3750.0,15000,200,0.5333,0.5084
nu,0,0,9057.69230769,Adaptive Bi-weight with first width 3750.0,15000,200,0.5239,0.4852
nu,0,0,9403.84615385,Adaptive Bi-weight with first width 3750.0,15000,200,0.5005,0.4646
nu,0,0,9750.0,Adaptive Bi-weight with first width 3750.0,15000,200,0.4687,0.4484
nu,0,0,10096.15384615,Adaptive Bi-weight with first width 3750.0,15000,200,0.4365,0.435
nu,0,0,10442.30769231,Adaptive Bi-weight with first width 3750.0,15000,200,0.4117,0.4246
nu,0,0,10788.46153846,Adaptive Bi-weight with first width 3750.0,15000,200,0.4003,
nu,0,0,11134.61538462,Adaptive Bi-weight with first width 3750.0,15000,200,0.4053,
nu,0,0,11480.76923077,Adaptive Bi-weight with first width 3750.0,15000,200,0.4253,0.4358
nu,0,0,11826.92307692,Adaptive Bi-weight with first width 3750.0,15000,200,0.4555,0.4535
nu,0,0,12173.07692308,Adaptive Bi-weight with first width 3750.0,15000,200,0.4885,0.4883
nu,0,0,12519.23076923,Adaptive Bi-weight with first width 3750.0,15000,200,0.516,0.5096
nu,0,0,12865.38461538,Adaptive Bi-weight with first width 3750.0,15000,200,0.5315,0.54
nu,0,0,13211.53846154,Adaptive Bi-weight with first width 3750.0,15000,200,0.531,0.5468
nu,0,0,13557.69230769,Adaptive Bi-weight with first width 3750.0,15000,200,0.5147,0.5001
nu,0,0,13903.84615385,Adaptive Bi-weight with first width 3750.0,15000,200,0.4867,0.4532
nu,0,0,14250.0,Adaptive Bi-weight with first width 3750.0,15000,200,0.4537,0.457
