parameter,n,m,time estimation,weight function,T_max,time_burn_in,true value,value
alpha,0,0,750.0,Bi-weight 3750.0 width,15000,200,0.8907,0.6556
alpha,0,0,1096.15384615,Bi-weight 3750.0 width,15000,200,0.7558,0.6551
alpha,0,0,1442.30769231,Bi-weight 3750.0 width,15000,200,0.6219,
alpha,0,0,1788.46153846,Bi-weight 3750.0 width,15000,200,0.5219,
alpha,0,0,2134.61538462,Bi-weight 3750.0 width,15000,200,0.4804,0.6526
alpha,0,0,2480.76923077,Bi-weight 3750.0 width,15000,200,0.5076,0.6598
alpha,0,0,2826.92307692,Bi-weight 3750.0 width,15000,200,0.5968,
alpha,0,0,3173.07692308,Bi-weight 3750.0 width,15000,200,0.726,0.7115
alpha,0,0,3519.23076923,Bi-weight 3750.0 width,15000,200,0.8636,0.7282
alpha,0,0,3865.38461538,Bi-weight 3750.0 width,15000,200,0.9758,0.7306
alpha,0,0,4211.53846154,Bi-weight 3750.0 width,15000,200,1.035,0.7384
alpha,0,0,4557.69230769,Bi-weight 3750.0 width,15000,200,1.0266,0.7403
alpha,0,0,4903.84615385,Bi-weight 3750.0 width,15000,200,0.9527,0.716
alpha,0,0,5250.0,Bi-weight 3750.0 width,15000,200,0.8315,0.6717
alpha,0,0,5596.15384615,Bi-weight 3750.0 width,15000,200,0.6928,0.6217
alpha,0,0,5942.30769231,Bi-weight 3750.0 width,15000,200,0.5705,
alpha,0,0,6288.46153846,Bi-weight 3750.0 width,15000,200,0.4948,
alpha,0,0,6634.61538462,Bi-weight 3750.0 width,15000,200,0.4842,
alpha,0,0,6980.76923077,Bi-weight 3750.0 width,15000,200,0.5414,
alpha,0,0,7326.92307692,Bi-weight 3750.0 width,15000,200,0.6522,0.8541
alpha,0,0,7673.07692308,Bi-weight 3750.0 width,15000,200,0.7895,0.9875
alpha,0,0,8019.23076923,Bi-weight 3750.0 width,15000,200,0.9196,1.0575
alpha,0,0,8365.38461538,Bi-weight 3750.0 width,15000,200,1.0105,1.0693
alpha,0,0,8711.53846154,Bi-weight 3750.0 width,15000,200,1.0398,1.037
alpha,0,0,9057.69230769,Bi-weight 3750.0 width,15000,200,1.0004,0.9766
alpha,0,0,9403.84615385,Bi-weight 3750.0 width,15000,200,0.902,0.8894
alpha,0,0,9750.0,Bi-weight 3750.0 width,15000,200,0.7687,0.7929
alpha,0,0,10096.15384615,Bi-weight 3750.0 width,15000,200,0.6332,0.6999
alpha,0,0,10442.30769231,Bi-weight 3750.0 width,15000,200,0.5289,0.6242
alpha,0,0,10788.46153846,Bi-weight 3750.0 width,15000,200,0.4814,
alpha,0,0,11134.61538462,Bi-weight 3750.0 width,15000,200,0.5023,
alpha,0,0,11480.76923077,Bi-weight 3750.0 width,15000,200,0.5864,
alpha,0,0,11826.92307692,Bi-weight 3750.0 width,15000,200,0.7133,
alpha,0,0,12173.07692308,Bi-weight 3750.0 width,15000,200,0.8515,0.7582
alpha,0,0,12519.23076923,Bi-weight 3750.0 width,15000,200,0.9674,0.8008
alpha,0,0,12865.38461538,Bi-weight 3750.0 width,15000,200,1.0322,0.8124
alpha,0,0,13211.53846154,Bi-weight 3750.0 width,15000,200,1.0302,0.7956
alpha,0,0,13557.69230769,Bi-weight 3750.0 width,15000,200,0.9619,0.752
alpha,0,0,13903.84615385,Bi-weight 3750.0 width,15000,200,0.8439,0.6878
alpha,0,0,14250.0,Bi-weight 3750.0 width,15000,200,0.7054,0.6232
beta,0,0,750.0,Bi-weight 3750.0 width,15000,200,4.0,2.6692
beta,0,0,1096.15384615,Bi-weight 3750.0 width,15000,200,4.0,2.8544
beta,0,0,1442.30769231,Bi-weight 3750.0 width,15000,200,4.0,
beta,0,0,1788.46153846,Bi-weight 3750.0 width,15000,200,4.0,
beta,0,0,2134.61538462,Bi-weight 3750.0 width,15000,200,4.0,3.3739
beta,0,0,2480.76923077,Bi-weight 3750.0 width,15000,200,4.0,3.3329
beta,0,0,2826.92307692,Bi-weight 3750.0 width,15000,200,4.0,
beta,0,0,3173.07692308,Bi-weight 3750.0 width,15000,200,4.0,3.2414
beta,0,0,3519.23076923,Bi-weight 3750.0 width,15000,200,4.0,3.1588
beta,0,0,3865.38461538,Bi-weight 3750.0 width,15000,200,4.0,3.0492
beta,0,0,4211.53846154,Bi-weight 3750.0 width,15000,200,4.0,3.0439
beta,0,0,4557.69230769,Bi-weight 3750.0 width,15000,200,4.0,3.0875
beta,0,0,4903.84615385,Bi-weight 3750.0 width,15000,200,4.0,3.0897
beta,0,0,5250.0,Bi-weight 3750.0 width,15000,200,4.0,3.0588
beta,0,0,5596.15384615,Bi-weight 3750.0 width,15000,200,4.0,3.0617
beta,0,0,5942.30769231,Bi-weight 3750.0 width,15000,200,4.0,
beta,0,0,6288.46153846,Bi-weight 3750.0 width,15000,200,4.0,
beta,0,0,6634.61538462,Bi-weight 3750.0 width,15000,200,4.0,
beta,0,0,6980.76923077,Bi-weight 3750.0 width,15000,200,4.0,
beta,0,0,7326.92307692,Bi-weight 3750.0 width,15000,200,4.0,4.2443
beta,0,0,7673.07692308,Bi-weight 3750.0 width,15000,200,4.0,4.563
beta,0,0,8019.23076923,Bi-weight 3750.0 width,15000,200,4.0,4.6714
beta,0,0,8365.38461538,Bi-weight 3750.0 width,15000,200,4.0,4.6676
beta,0,0,8711.53846154,Bi-weight 3750.0 width,15000,200,4.0,4.6001
beta,0,0,9057.69230769,Bi-weight 3750.0 width,15000,200,4.0,4.5156
beta,0,0,9403.84615385,Bi-weight 3750.0 width,15000,200,4.0,4.3767
beta,0,0,9750.0,Bi-weight 3750.0 width,15000,200,4.0,4.2048
beta,0,0,10096.15384615,Bi-weight 3750.0 width,15000,200,4.0,4.0437
beta,0,0,10442.30769231,Bi-weight 3750.0 width,15000,200,4.0,3.7994
beta,0,0,10788.46153846,Bi-weight 3750.0 width,15000,200,4.0,
beta,0,0,11134.61538462,Bi-weight 3750.0 width,15000,200,4.0,
beta,0,0,11480.76923077,Bi-weight 3750.0 width,15000,200,4.0,
beta,0,0,11826.92307692,Bi-weight 3750.0 width,15000,200,4.0,
beta,0,0,12173.07692308,Bi-weight 3750.0 width,15000,200,4.0,3.0282
beta,0,0,12519.23076923,Bi-weight 3750.0 width,15000,200,4.0,3.1702
beta,0,0,12865.38461538,Bi-weight 3750.0 width,15000,200,4.0,3.2754
beta,0,0,13211.53846154,Bi-weight 3750.0 width,15000,200,4.0,3.3622
beta,0,0,13557.69230769,Bi-weight 3750.0 width,15000,200,4.0,3.4465
beta,0,0,13903.84615385,Bi-weight 3750.0 width,15000,200,4.0,3.4995
beta,0,0,14250.0,Bi-weight 3750.0 width,15000,200,4.0,3.4732
nu,0,0,750.0,Bi-weight 3750.0 width,15000,200,0.4978,0.4318
nu,0,0,1096.15384615,Bi-weight 3750.0 width,15000,200,0.4657,0.4269
nu,0,0,1442.30769231,Bi-weight 3750.0 width,15000,200,0.4338,
nu,0,0,1788.46153846,Bi-weight 3750.0 width,15000,200,0.41,
nu,0,0,2134.61538462,Bi-weight 3750.0 width,15000,200,0.4001,0.4322
nu,0,0,2480.76923077,Bi-weight 3750.0 width,15000,200,0.4066,0.443
nu,0,0,2826.92307692,Bi-weight 3750.0 width,15000,200,0.4278,
nu,0,0,3173.07692308,Bi-weight 3750.0 width,15000,200,0.4586,0.4738
nu,0,0,3519.23076923,Bi-weight 3750.0 width,15000,200,0.4913,0.4879
nu,0,0,3865.38461538,Bi-weight 3750.0 width,15000,200,0.518,0.4943
nu,0,0,4211.53846154,Bi-weight 3750.0 width,15000,200,0.5321,0.4944
nu,0,0,4557.69230769,Bi-weight 3750.0 width,15000,200,0.5301,0.4904
nu,0,0,4903.84615385,Bi-weight 3750.0 width,15000,200,0.5126,0.4807
nu,0,0,5250.0,Bi-weight 3750.0 width,15000,200,0.4837,0.466
nu,0,0,5596.15384615,Bi-weight 3750.0 width,15000,200,0.4507,0.4511
nu,0,0,5942.30769231,Bi-weight 3750.0 width,15000,200,0.4216,
nu,0,0,6288.46153846,Bi-weight 3750.0 width,15000,200,0.4035,
nu,0,0,6634.61538462,Bi-weight 3750.0 width,15000,200,0.401,
nu,0,0,6980.76923077,Bi-weight 3750.0 width,15000,200,0.4146,
nu,0,0,7326.92307692,Bi-weight 3750.0 width,15000,200,0.441,0.4512
nu,0,0,7673.07692308,Bi-weight 3750.0 width,15000,200,0.4737,0.4686
nu,0,0,8019.23076923,Bi-weight 3750.0 width,15000,200,0.5047,0.488
nu,0,0,8365.38461538,Bi-weight 3750.0 width,15000,200,0.5263,0.4999
nu,0,0,8711.53846154,Bi-weight 3750.0 width,15000,200,0.5333,0.4995
nu,0,0,9057.69230769,Bi-weight 3750.0 width,15000,200,0.5239,0.4871
nu,0,0,9403.84615385,Bi-weight 3750.0 width,15000,200,0.5005,0.4675
nu,0,0,9750.0,Bi-weight 3750.0 width,15000,200,0.4687,0.4469
nu,0,0,10096.15384615,Bi-weight 3750.0 width,15000,200,0.4365,0.4304
nu,0,0,10442.30769231,Bi-weight 3750.0 width,15000,200,0.4117,0.4231
nu,0,0,10788.46153846,Bi-weight 3750.0 width,15000,200,0.4003,
nu,0,0,11134.61538462,Bi-weight 3750.0 width,15000,200,0.4053,
nu,0,0,11480.76923077,Bi-weight 3750.0 width,15000,200,0.4253,
nu,0,0,11826.92307692,Bi-weight 3750.0 width,15000,200,0.4555,
nu,0,0,12173.07692308,Bi-weight 3750.0 width,15000,200,0.4885,0.4715
nu,0,0,12519.23076923,Bi-weight 3750.0 width,15000,200,0.516,0.479
nu,0,0,12865.38461538,Bi-weight 3750.0 width,15000,200,0.5315,0.4814
nu,0,0,13211.53846154,Bi-weight 3750.0 width,15000,200,0.531,0.4795
nu,0,0,13557.69230769,Bi-weight 3750.0 width,15000,200,0.5147,0.4753
nu,0,0,13903.84615385,Bi-weight 3750.0 width,15000,200,0.4867,0.4718
nu,0,0,14250.0,Bi-weight 3750.0 width,15000,200,0.4537,0.4666
